,stock,tt,nse
0,ABB India Ltd,ABB,ABB
1,Adani Energy Solutions Ltd,ADAI,ADANIENSOL
2,Adani Enterprises Ltd,ADEL,ADANIENT
3,Adani Green Energy Ltd,ADNA,ADANIGREEN
4,Adani Ports and Special Economic Zone Ltd,APSE,ADANIPORTS
5,Adani Power Ltd,ADAN,ADANIPOWER
6,Adani Total Gas Ltd,ADAG,ATGL
7,Ambuja Cements Ltd,ABUJ,AMBUJACEM
8,Apollo Hospitals Enterprise Ltd,APLH,APOLLOHOSP
9,Asian Paints Ltd,ASPN,ASIANPAINT
10,Avenue Supermarts Ltd,AVEU,DMART
11,Axis Bank Ltd,AXBK,AXISBANK
12,Bajaj Auto Ltd,BAJA,BAJAJ-AUTO
13,Bajaj Finance Ltd,BJFN,BAJFINANCE
14,Bajaj Finserv Ltd,BJFS,BAJAJFINSV
15,Bajaj Holdings and Investment Ltd,BJAT,BAJAJHLDNG
16,Bank of Baroda Ltd,BOB,BANKBARODA
17,Bharat Electronics Ltd,BAJE,BEL
18,Bharat Heavy Electricals Ltd,BHEL,BHEL
19,Bharat Petroleum Corporation Ltd,BPCL,BPCL
20,Bharti Airtel Ltd,BRTI,AIRTELPP
21,Bosch Ltd,BOSH,BOSCHLTD
22,Britannia Industries Ltd,BRIT,BRITANNIA
23,Canara Bank Ltd,CNBK,CANBK
24,Cholamandalam Investment and Finance Company Ltd,CHLA,CHOLAFIN
25,Cipla Ltd,CIPL,CIPLA
26,Coal India Ltd,COAL,COALINDIA
27,DLF Ltd,DLF,DLF
28,Dabur India Ltd,DABU,DABUR
29,Divi's Laboratories Ltd,DIVI,DIVISLAB
30,Dr Reddy's Laboratories Ltd,REDY,DRREDDY
31,Eicher Motors Ltd,EICH,EICHERMOT
32,Gail (India) Ltd,GAIL,GAIL
33,Godrej Consumer Products Ltd,GOCP,GODREJCP
34,Grasim Industries Ltd,GRAS,GRASIMPP
35,HCL Technologies Ltd,HCLT,HCLTECH
36,HDFC Bank Ltd,HDBK,HDFCBANK
37,HDFC Life Insurance Company Ltd,HDFL,HDFCLIFE
38,Havells India Ltd,HVEL,HAVELLS
39,Hero MotoCorp Ltd,HROM,HEROMOTOCO
40,Hindalco Industries Ltd,HALC,HINDALCO
41,Hindustan Aeronautics Ltd,HIAE,HAL
42,Hindustan Unilever Ltd,HLL,HINDUNILVR
43,Hindustan Zinc Ltd,HZNC,HINDZINC
44,ICICI Bank Ltd,ICBK,ICICIBANK
45,ICICI Prudential Life Insurance Company Ltd,ICIR,ICICIPRULI
46,IDBI Bank Ltd,IDBI,IDBI
47,Indian Oil Corporation Ltd,IOC,IOC
48,Indian Overseas Bank,IOBK,IOB
49,Indian Railway Finance Corp Ltd,IRF,IRFC
50,Indusind Bank Ltd,INBK,INDUSINDBK
51,Infosys Ltd,INFY,INFY
52,Interglobe Aviation Ltd,INGL,INDIGO
53,Itc Ltd,ITC,ITC
54,JSW Energy Ltd,JSWE,JSWENERGY
55,JSW Steel Ltd,JSTL,JSWSTEEL
56,Jindal Steel And Power Ltd,JNSP,JINDALSTEL
57,Jio Financial Services Ltd,JIO,JIOFIN
58,Kotak Mahindra Bank Ltd,KTKM,KOTAKBANK
59,LTIMindtree Ltd,LRTI,LTIM
60,Larsen and Toubro Ltd,LART,LT
61,Life Insurance Corporation Of India,LIC,LICI
62,Macrotech Developers Ltd,LOD,LODHA
63,Mahindra and Mahindra Ltd,MAHM,M&M
64,Mankind Pharma Ltd,MANKI,MANKIND
65,Maruti Suzuki India Ltd,MRTI,MARUTI
66,NHPC Ltd,NHPC,NHPC
67,NTPC Ltd,NTPC,NTPC
68,Nestle India Ltd,NEST,NESTLEIND
69,Oil and Natural Gas Corporation Ltd,ONGC,ONGC
70,Pidilite Industries Ltd,PIDI,PIDILITIND
71,Power Finance Corporation Ltd,PWFC,PFC
72,Power Grid Corporation of India Ltd,PGRD,POWERGRID
73,Punjab National Bank,PNBK,PNB
74,REC Limited,RECM,RECLTD
75,Reliance Industries Ltd,RELI,RELIANCE
76,SBI Life Insurance Company Ltd,SBIL,SBILIFE
77,Shree Cement Ltd,SHCM,SHREECEM
78,Shriram Finance Ltd,SRTR,SHRIRAMFIN
79,Siemens Ltd,SIEM,SIEMENS
80,State Bank of India,SBI,SBIN
81,Sun Pharmaceutical Industries Ltd,SUN,SUNPHARMA
82,TVS Motor Company Ltd,TVSM,TVSMOTOR
83,Tata Consultancy Services Ltd,TCS,TCS
84,Tata Consumer Products Ltd,TACN,TATACONSUM
85,Tata Motors Ltd,TAMO,TATAMOTORS
87,Tata Power Company Ltd,TTPW,TATAPOWER
88,Tata Steel Ltd,TISC,TATASTEEL
89,Tech Mahindra Ltd,TEML,TECHM
90,Titan Company Ltd,TITN,TITAN
91,Torrent Pharmaceuticals Ltd,TORP,TORNTPHARM
92,Trent Ltd,TREN,TRENT
93,UltraTech Cement Ltd,ULTC,ULTRACEMCO
94,Union Bank of India Ltd,UNBK,UNIONBANK
95,Varun Beverages Ltd,VARB,VBL
96,Vedanta Ltd,VDAN,VEDL
97,Wipro Ltd,WIPR,WIPRO
98,Zomato Ltd,ZOM,ZOMATO
99,Zydus Lifesciences Ltd,CADI,ZYDUSLIFE
